Year/Month,County,Unemployment Rate,National Unemployment,State Unemployment
06/01/2003,Bellingham MSA                                              ,7.4%,6.5%,7.8%
06/01/2003,Bremerton-Silverdale MSA                                    ,7.6%,6.5%,7.8%
06/01/2003,Kennewick-Richland-Pasco MSA                                ,7.1%,6.5%,7.8%
06/01/2003,Longview MSA                                                ,10.7%,6.5%,7.8%
06/01/2003,Mount Vernon-Anacortes MSA                                  ,8.6%,6.5%,7.8%
06/01/2003,Olympia MSA                                                 ,7.1%,6.5%,7.8%
06/01/2003,Seattle-Bellevue-Everett MSA                                ,6.8%,6.5%,7.8%
06/01/2003,Spokane MSA                                                 ,7.9%,6.5%,7.8%
06/01/2003,Tacoma MSA                                                  ,8.9%,6.5%,7.8%
06/01/2003,Wenatchee MSA                                               ,8.3%,6.5%,7.8%
06/01/2003,Yakima MSA                                                  ,8.8%,6.5%,7.8%
07/01/2003,Pacific County                                              ,8.7%,6.3%,7.3%
07/01/2003,Adams County                                                ,6.6%,6.3%,7.3%
07/01/2003,Klickitat County                                            ,10.8%,6.3%,7.3%
07/01/2003,Kittitas County                                             ,7.5%,6.3%,7.3%
07/01/2003,Kitsap County                                               ,6.9%,6.3%,7.3%
07/01/2003,Mount Vernon-Anacortes MSA                                  ,7.9%,6.3%,7.3%
07/01/2003,Longview MSA                                                ,10.4%,6.3%,7.3%
07/01/2003,Kennewick-Richland-Pasco MSA                                ,7.1%,6.3%,7.3%
07/01/2003,Bremerton-Silverdale MSA                                    ,6.9%,6.3%,7.3%
07/01/2003,Bellingham MSA                                              ,7%,6.3%,7.3%
07/01/2003,Seattle-Bellevue-Everett MSA                                ,6.1%,6.3%,7.3%
07/01/2003,Tacoma MSA                                                  ,8.6%,6.3%,7.3%
07/01/2003,Garfield County                                             ,5.8%,6.3%,7.3%
07/01/2003,Yakima County                                               ,8.6%,6.3%,7.3%
07/01/2003,Wenatchee MSA                                               ,6.3%,6.3%,7.3%
07/01/2003,Clark County                                                ,10%,6.3%,7.3%
07/01/2003,Whitman County                                              ,5.9%,6.3%,7.3%
07/01/2003,Columbia County                                             ,10%,6.3%,7.3%
07/01/2003,Olympia MSA                                                 ,7%,6.3%,7.3%
07/01/2003,Whatcom County                                              ,7%,6.3%,7.3%
07/01/2003,Walla Walla County                                          ,6.3%,6.3%,7.3%
07/01/2003,Wahkiakum County                                            ,10.9%,6.3%,7.3%
07/01/2003,Thurston County                                             ,7%,6.3%,7.3%
07/01/2003,Asotin County                                               ,7.3%,6.3%,7.3%
07/01/2003,Yakima MSA                                                  ,8.6%,6.3%,7.3%
07/01/2003,Stevens County                                              ,9.3%,6.3%,7.3%
07/01/2003,Clallam County                                              ,8.8%,6.3%,7.3%
07/01/2003,Spokane County                                              ,7.7%,6.3%,7.3%
07/01/2003,Snohomish County                                            ,6.9%,6.3%,7.3%
07/01/2003,Grant County                                                ,7.9%,6.3%,7.3%
07/01/2003,Franklin County                                             ,7.6%,6.3%,7.3%
07/01/2003,Skamania County                                             ,9.8%,6.3%,7.3%
07/01/2003,Grays Harbor County                                         ,9.4%,6.3%,7.3%
07/01/2003,Skagit County                                               ,7.9%,6.3%,7.3%
07/01/2003,San Juan County                                             ,4.5%,6.3%,7.3%
07/01/2003,Pierce County                                               ,8.6%,6.3%,7.3%
07/01/2003,Spokane MSA                                                 ,7.7%,6.3%,7.3%
07/01/2003,Pend Oreille County                                         ,9.7%,6.3%,7.3%
07/01/2003,Lewis County                                                ,9.8%,6.3%,7.3%
07/01/2003,Island County                                               ,8.1%,6.3%,7.3%
07/01/2003,Okanogan County                                             ,6.8%,6.3%,7.3%
07/01/2003,Mason County                                                ,8.9%,6.3%,7.3%
07/01/2003,Cowlitz County                                              ,10.4%,6.3%,7.3%
07/01/2003,Jefferson County                                            ,7.4%,6.3%,7.3%
07/01/2003,Lincoln County                                              ,6.5%,6.3%,7.3%
07/01/2003,Douglas County                                              ,6.1%,6.3%,7.3%
07/01/2003,King County                                                 ,5.9%,6.3%,7.3%
07/01/2003,Ferry County                                                ,12.5%,6.3%,7.3%
07/01/2003,Benton County                                               ,7%,6.3%,7.3%
07/01/2003,Chelan County                                               ,6.5%,6.3%,7.3%
08/01/2003,Tacoma MSA                                                  ,8.6%,6%,7.2%
08/01/2003,Stevens County                                              ,8.9%,6%,7.2%
08/01/2003,Whitman County                                              ,5%,6%,7.2%
08/01/2003,Yakima MSA                                                  ,9.1%,6%,7.2%
08/01/2003,Spokane MSA                                                 ,7.7%,6%,7.2%
08/01/2003,Pend Oreille County                                         ,9.6%,6%,7.2%
08/01/2003,Thurston County                                             ,6.9%,6%,7.2%
08/01/2003,Wahkiakum County                                            ,10.8%,6%,7.2%
08/01/2003,Longview MSA                                                ,10.2%,6%,7.2%
08/01/2003,Seattle-Bellevue-Everett MSA                                ,5.9%,6%,7.2%
08/01/2003,Garfield County                                             ,5.3%,6%,7.2%
08/01/2003,Grays Harbor County                                         ,9.2%,6%,7.2%
08/01/2003,King County                                                 ,5.6%,6%,7.2%
08/01/2003,Franklin County                                             ,7.2%,6%,7.2%
08/01/2003,Cowlitz County                                              ,10.2%,6%,7.2%
08/01/2003,Yakima County                                               ,9.1%,6%,7.2%
08/01/2003,Klickitat County                                            ,11.8%,6%,7.2%
08/01/2003,Grant County                                                ,8.1%,6%,7.2%
08/01/2003,Snohomish County                                            ,6.7%,6%,7.2%
08/01/2003,Pierce County                                               ,8.6%,6%,7.2%
08/01/2003,Jefferson County                                            ,7.2%,6%,7.2%
08/01/2003,Lewis County                                                ,9.5%,6%,7.2%
08/01/2003,Ferry County                                                ,12.3%,6%,7.2%
08/01/2003,Douglas County                                              ,7.8%,6%,7.2%
08/01/2003,Wenatchee MSA                                               ,8.6%,6%,7.2%
08/01/2003,Columbia County                                             ,9.8%,6%,7.2%
08/01/2003,Lincoln County                                              ,6.6%,6%,7.2%
08/01/2003,Kennewick-Richland-Pasco MSA                                ,7.1%,6%,7.2%
08/01/2003,Bellingham MSA                                              ,7%,6%,7.2%
08/01/2003,Clallam County                                              ,8.4%,6%,7.2%
08/01/2003,Clark County                                                ,10.5%,6%,7.2%
08/01/2003,San Juan County                                             ,4.4%,6%,7.2%
08/01/2003,Skagit County                                               ,8%,6%,7.2%
08/01/2003,Bremerton-Silverdale MSA                                    ,6.8%,6%,7.2%
08/01/2003,Mason County                                                ,8.7%,6%,7.2%
08/01/2003,Whatcom County                                              ,7%,6%,7.2%
08/01/2003,Spokane County                                              ,7.7%,6%,7.2%
